id_kurikulum,nama_kurikulum,id_semester,nama_semester,kode_dosen,nama_dosen,id_kelasrombel,nama_kelas,kode_matakuliah,nama_matakuliah,sks,status
2,curso,1,Semester 1,1940,Debbie Turner,1,5B,BT,brevis tepidus,3,Lab
2,aspernatur,1,Semester 1,8155,Stacy Runolfsdottir,2,1A,CO,commemoro confido,2,Kelas
2,vix,1,Semester 1,6555,Byron Shields,1,5B,CC,cras contego,4,Lab
1,volubilis,1,Semester 1,3010,Mona Adams,1,1A,VV,vestrum verus,4,Kelas
1,conqueror,1,Semester 1,7320,Marion Gislason,2,6B,DT,defessus talus,3,Kelas
2,allatus,1,Semester 1,8626,Jerry Hane V,1,2A,SI,synagoga incidunt,3,Kelas
1,cado,1,Semester 1,8903,Beth Oberbrunner,2,6B,PT,paens tener,2,Lab
3,textor,1,Semester 1,8654,Wilfred Brown,1,5B,SA,suscipit angustus,4,Kelas
3,magnam,1,Semester 1,3997,Benny Heathcote DDS,2,3A,BS,bestia suscipio,3,Lab
2,hic,1,Semester 1,7394,Leo Kutch,1,4B,VD,validus dedico,4,Kelas
